20 8
0 1 10
1 0 10
0 2 15
2 0 15
1 3 12
3 1 12
1 4 8
4 1 8
2 5 7
5 2 7
2 6 14
6 2 14
3 7 9
7 3 9
3 8 13
8 3 13
4 9 11
9 4 11
4 10 16
10 4 16
5 11 10
11 5 10
5 12 15
12 5 15
6 13 12
13 6 12
6 14 8
14 6 8
7 15 7
15 7 7
7 16 14
16 7 14
8 17 9
17 8 9
8 18 13
18 8 13
9 19 11
19 9 11
9 0 16
0 9 16
10 1 10
1 10 10
10 2 15
2 10 15
11 3 12
3 11 12
11 4 8 
4 11 8
12 5 7
5 12 7
12 6 14
6 12 14
13 7 9
7 13 9
13 8 13
8 13 13
14 9 11
9 14 11
14 10 16
10 14 16
15 11 10
11 15 10
15 12 15
12 15 15
16 13 12
13 16 12
16 14 8
14 16 8
17 15 7
15 17 7
17 16 14
16 17 14
18 17 9
17 18 9
18 18 13
18 18 13
19 19 11
19 19 11
19 0 16
0 19 16
