50 500
0 1 81
1 2 10
2 3 57
3 4 10
4 5 35
5 6 16
6 7 34
7 8 6
8 9 78
9 10 66
10 11 6
11 12 12
12 13 61
13 14 60
14 15 9
15 16 6
16 17 53
17 18 99
18 19 48
19 20 61
20 21 41
21 22 49
22 23 88
23 24 32
24 25 14
25 26 88
26 27 98
27 28 97
28 29 79
29 30 22
30 31 24
31 32 8
32 33 99
33 34 25
34 35 57
35 36 8
36 37 34
37 38 87
38 39 86
39 40 57
40 41 9
41 42 78
42 43 52
43 44 66
44 45 83
45 46 15
46 47 1
47 48 75
48 49 20
33 9 2
30 25 9
17 20 90
42 11 24
19 25 6
6 13 70
48 21 86
46 27 54
32 38 96
45 13 80
5 46 58
22 13 100
2 8 76
36 16 57
22 10 90
33 32 60
47 10 39
4 8 72
13 25 26
19 6 8
2 41 53
24 22 52
17 28 91
20 45 41
42 23 6
41 10 7
6 36 4
48 47 54
37 27 38
29 44 67
23 46 14
15 6 14
5 37 39
23 24 7
34 6 31
33 32 58
34 9 62
16 4 91
11 49 1
23 1 98
45 40 46
3 47 56
49 5 28
9 5 51
20 4 64
3 32 34
27 42 31
2 41 56
42 1 52
4 33 34
14 19 5
49 38 55
12 9 33
35 12 26
7 8 82
6 36 88
11 36 63
17 19 63
16 30 13
44 18 43
39 46 29
8 41 14
39 30 29
0 29 90
7 36 55
23 15 27
36 42 34
18 33 11
31 46 92
12 16 72
16 6 19
24 7 47
16 49 76
3 0 19
0 39 49
46 3 32
18 30 10
32 44 30
24 29 82
33 40 76
40 20 12
18 28 6
24 40 74
4 8 38
45 44 54
12 14 50
45 4 48
42 46 83
38 33 36
22 35 79
29 3 47
19 8 26
45 48 96
22 25 71
47 38 65
47 42 37
8 2 82
32 4 41
15 28 12
24 8 73
15 35 72
21 25 45
21 45 96
8 35 47
33 30 33
49 21 39
2 5 22
6 27 35
13 15 60
40 19 18
4 15 5
45 47 58
39 31 6
26 31 14
43 21 48
31 29 7
27 0 19
5 32 26
48 37 15
11 27 42
38 11 87
40 31 12
40 39 93
47 29 2
21 19 66
25 0 64
9 45 87
11 10 7
40 27 69
34 2 85
2 38 73
30 10 23
28 15 1
48 33 36
26 19 61
45 26 13
27 39 40
18 20 49
47 49 89
22 44 19
20 36 74
18 2 57
38 15 84
45 13 16
17 30 67
23 0 68
49 14 2
49 24 38
19 13 77
47 1 31
45 40 100
0 30 39
27 10 11
16 11 50
11 45 65
37 41 47
20 47 57
43 14 75
4 39 19
2 6 95
4 8 47
16 10 11
2 38 63
42 31 86
25 34 54
29 19 96
29 7 55
4 33 57
26 43 91
36 32 8
38 22 36
45 29 41
3 1 10
11 20 44
33 18 23
9 24 81
13 10 49
29 42 66
48 21 61
26 1 98
16 6 11
30 39 90
31 39 80
48 39 87
19 30 50
10 13 20
40 15 56
26 49 57
11 15 27
25 24 100
2 15 51
48 3 76
45 26 89
48 44 29
24 34 13
9 27 76
49 31 91
22 27 22
33 1 45
18 42 51
0 45 52
30 19 87
36 11 8
26 30 53
39 18 46
48 26 82
45 9 19
32 6 23
0 49 73
4 10 91
42 3 36
15 49 14
31 19 41
23 14 16
24 32 85
8 21 66
21 14 96
47 23 57
47 31 35
6 22 58
20 4 51
13 38 22
9 13 71
6 17 37
36 26 22
44 19 93
16 38 73
35 15 6
12 13 62
1 21 96
30 5 98
26 16 88
22 4 26
3 0 76
10 44 61
22 16 4
9 23 14
37 6 77
44 37 27
1 35 71
34 30 66
26 35 59
7 17 34
24 49 68
46 38 3
15 28 32
2 1 77
2 5 46
36 4 42
7 16 58
30 14 50
0 31 17
31 40 30
15 19 67
29 17 81
0 41 24
35 39 43
29 22 57
27 34 7
2 23 77
13 41 54
16 34 97
48 35 15
30 32 38
7 20 59
38 32 31
21 26 29
0 1 28
3 36 95
19 37 30
29 8 9
34 3 43
38 30 45
6 25 75
46 38 76
39 0 7
11 13 85
39 7 1
8 44 41
3 26 25
32 38 11
42 31 85
24 28 15
17 33 42
48 26 53
25 11 38
9 44 29
11 44 82
5 18 53
17 19 68
7 27 82
41 6 17
12 34 94
35 42 78
29 16 44
24 31 95
11 21 14
48 10 75
46 5 10
28 13 69
44 19 19
9 43 84
5 7 59
14 29 13
33 45 15
22 21 34
39 0 50
47 15 68
24 49 8
22 27 51
30 32 4
25 16 92
34 42 97
5 49 8
49 23 30
22 39 42
28 14 85
28 18 64
5 42 13
3 19 11
23 47 56
36 9 25
27 43 26
35 16 10
15 43 8
47 22 61
10 15 81
8 23 62
5 20 71
24 40 26
8 43 47
11 8 66
11 23 29
17 16 33
41 19 62
20 0 86
9 19 69
25 6 58
31 10 36
40 26 3
25 15 90
22 24 98
3 25 15
34 19 25
5 23 76
47 23 72
8 48 11
33 25 23
7 3 58
20 45 54
23 45 92
45 10 56
2 34 51
29 10 57
34 8 72
5 43 60
31 39 50
42 17 35
42 20 59
8 20 21
17 19 18
9 2 51
6 24 100
32 33 39
0 34 69
45 39 36
45 24 6
49 33 76
22 45 38
46 25 19
45 10 80
20 38 6
8 37 79
19 45 75
48 10 32
49 17 29
18 3 90
40 36 91
27 40 28
49 24 21
39 2 18
44 30 14
42 35 80
27 33 30
21 26 66
29 11 76
8 22 1
20 8 21
33 17 48
21 14 58
15 4 14
47 30 59
23 30 73
31 12 39
37 2 78
14 29 82
34 5 47
46 9 54
1 19 76
37 14 89
14 6 92
39 35 2
18 47 74
10 36 30
24 10 61
34 2 54
20 36 100
21 31 19
25 8 100
24 18 92
43 22 3
28 43 62
12 28 76
39 48 52
26 4 51
31 17 49
12 17 95
43 2 96
35 8 38
44 33 30
20 38 80
4 11 61
34 12 64
14 24 49
46 27 26
16 8 54
21 40 77
2 41 69
36 43 77
12 17 79
1 26 1
9 3 35
16 44 45
32 25 83
0 11 27
49 31 20
16 2 88
6 3 78
14 6 47
30 36 40
22 42 89
3 29 40
7 19 88
27 12 29
28 20 22
13 34 56
48 41 60
35 24 18
21 24 54
41 35 65
46 39 58
