1332 2674
0 1 21
0 2 12
1 0 21
2 0 12
2 3 10
3 2 10
3 4 24
4 3 24
4 5 12
5 4 12
5 6 16
6 5 16
6 7 18
7 6 18
7 8 32
7 9 45
8 7 32
9 7 45
9 10 36
10 9 36
10 11 92
11 10 92
11 12 23
12 11 23
12 13 30
12 14 15
13 12 30
14 12 15
14 15 40
15 14 40
15 16 39
16 15 39
16 17 31
17 16 31
17 18 16
17 19 178
18 17 16
19 17 178
19 20 175
20 19 175
20 21 7
20 36 36
21 20 7
21 22 51
22 21 51
22 23 13
23 22 13
23 24 52
24 23 52
24 25 12
25 24 12
25 26 42
26 25 42
26 27 5
27 26 5
27 28 11
28 27 11
28 29 21
29 28 21
29 30 19
30 29 19
30 31 12
31 30 12
31 32 31
32 31 31
32 33 42
33 32 42
33 34 29
34 33 29
34 35 27
35 34 27
36 20 36
36 37 128
37 36 128
37 38 110
38 37 110
38 39 99
39 38 99
39 40 26
39 68 38
40 39 26
40 41 35
40 42 121
41 40 35
42 40 121
42 43 48
43 42 48
43 44 29
44 43 29
44 45 22
45 44 22
45 46 53
46 45 53
46 47 69
47 46 69
47 48 16
48 47 16
48 49 21
49 48 21
49 50 17
50 49 17
50 51 19
51 50 19
51 52 23
52 51 23
52 53 27
53 52 27
53 54 17
54 53 17
54 55 24
55 54 24
55 56 21
56 55 21
56 57 17
57 56 17
57 58 18
58 57 18
58 59 30
59 58 30
59 60 23
60 59 23
60 61 24
61 60 24
61 62 22
62 61 22
62 63 21
63 62 21
63 64 51
64 63 51
64 65 36
65 64 36
65 66 46
66 65 46
66 67 22
67 66 22
68 39 38
68 69 26
68 74 211
69 68 26
69 70 14
70 69 14
70 71 72
71 70 72
71 72 44
72 71 44
72 73 127
73 72 127
74 68 211
74 75 218
75 74 218
75 76 31
75 84 324
76 75 31
76 77 32
77 76 32
77 78 9
78 77 9
78 79 8
79 78 8
79 80 6
80 79 6
80 81 7
81 80 7
81 82 6
82 81 6
82 83 5
83 82 5
84 75 324
84 85 196
85 84 196
85 86 14
86 85 14
86 87 13
87 86 13
87 88 191
88 87 191
88 89 246
89 88 246
89 90 208
89 91 53
90 89 208
91 89 53
91 92 7
92 91 7
92 93 27
93 92 27
93 94 7
94 93 7
94 95 9
95 94 9
95 96 61
96 95 61
96 97 33
97 96 33
97 98 22
97 102 91
98 97 22
98 99 26
99 98 26
99 100 17
100 99 17
100 101 9
101 100 9
102 97 91
102 103 104
103 102 104
103 104 52
103 112 18
104 103 52
104 105 35
105 104 35
105 106 50
106 105 50
106 107 36
107 106 36
107 108 70
108 107 70
108 109 47
109 108 47
109 110 48
110 109 48
110 111 37
111 110 37
112 103 18
112 113 269
113 112 269
113 114 108
114 113 108
114 115 88
115 114 88
115 116 34
115 120 84
116 115 34
116 117 90
117 116 90
117 118 2
118 117 2
118 119 42
119 118 42
120 115 84
120 121 65
121 120 65
121 122 223
122 121 223
122 123 83
123 122 83
123 124 96
124 123 96
124 125 107
125 124 107
125 126 298
126 125 298
126 127 157
127 126 157
127 128 107
128 127 107
128 129 193
129 128 193
129 130 63
130 129 63
130 131 41
131 130 41
131 132 61
132 131 61
132 133 171
133 132 171
133 134 14
133 135 133
134 133 14
135 133 133
135 136 12
135 142 20
136 135 12
136 137 10
137 136 10
137 138 6
138 137 6
138 139 8
139 138 8
139 140 6
140 139 6
140 141 6
141 140 6
142 135 20
142 143 220
143 142 220
143 144 159
144 143 159
144 145 122
145 144 122
145 146 57
146 145 57
146 147 27
147 146 27
147 148 29
147 149 36
148 147 29
149 147 36
149 150 60
150 149 60
150 151 202
151 150 202
151 152 103
152 151 103
152 153 81
153 152 81
153 154 99
153 173 7
154 153 99
154 155 47
155 154 47
155 156 29
156 155 29
156 157 87
157 156 87
157 158 105
158 157 105
158 159 79
159 158 79
159 160 42
160 159 42
160 161 21
161 160 21
161 162 22
162 161 22
162 163 34
163 162 34
163 164 77
164 163 77
164 165 115
165 164 115
165 166 79
166 165 79
166 167 56
167 166 56
167 168 68
168 167 68
168 169 66
169 168 66
169 170 33
170 169 33
170 171 69
171 170 69
171 172 67
172 171 67
173 153 7
173 174 94
174 173 94
174 175 67
175 174 67
175 176 73
176 175 73
176 177 63
177 176 63
177 178 57
178 177 57
178 179 108
179 178 108
179 180 204
180 179 204
180 181 146
181 180 146
181 182 55
182 181 55
182 183 87
183 182 87
183 184 138
184 183 138
184 185 93
185 184 93
185 186 60
185 236 38
186 185 60
186 187 48
187 186 48
187 188 58
188 187 58
188 189 12
189 188 12
189 190 32
190 189 32
190 191 36
191 190 36
191 192 44
192 191 44
192 193 14
193 192 14
193 194 12
194 193 12
194 195 9
195 194 9
195 196 10
196 195 10
196 197 26
197 196 26
197 198 9
198 197 9
198 199 14
199 198 14
199 200 22
200 199 22
200 201 9
201 200 9
201 202 21
202 201 21
202 203 39
203 202 39
203 204 79
204 203 79
204 205 26
205 204 26
205 206 31
206 205 31
206 207 17
207 206 17
207 208 18
208 207 18
208 209 36
209 208 36
209 210 16
210 209 16
210 211 14
211 210 14
211 212 12
212 211 12
212 213 39
213 212 39
213 214 71
214 213 71
214 215 24
215 214 24
215 216 24
216 215 24
216 217 35
217 216 35
217 218 13
218 217 13
218 219 17
219 218 17
219 220 30
220 219 30
220 221 14
221 220 14
221 222 10
222 221 10
222 223 19
223 222 19
223 224 28
224 223 28
224 225 17
225 224 17
225 226 9
226 225 9
226 227 13
227 226 13
227 228 47
228 227 47
228 229 16
229 228 16
229 230 109
230 229 109
230 231 69
231 230 69
231 232 36
232 231 36
232 233 34
233 232 34
233 234 48
234 233 48
234 235 15
235 234 15
236 185 38
236 237 107
237 236 107
237 238 119
238 237 119
238 239 177
239 238 177
239 240 38
239 254 18
240 239 38
240 241 34
241 240 34
241 242 50
242 241 50
242 243 60
243 242 60
243 244 74
244 243 74
244 245 64
245 244 64
245 246 42
246 245 42
246 247 42
247 246 42
247 248 40
248 247 40
248 249 116
249 248 116
249 250 21
250 249 21
250 251 31
251 250 31
251 252 100
252 251 100
252 253 41
253 252 41
254 239 18
254 255 85
254 268 49
255 254 85
255 256 52
256 255 52
256 257 152
257 256 152
257 258 135
258 257 135
258 259 70
259 258 70
259 260 63
260 259 63
260 261 34
260 262 76
260 263 273
261 260 34
261 925 48
262 260 76
263 260 273
263 264 17
263 267 13
264 263 17
264 265 257
265 264 257
265 266 32
266 265 32
266 953 105
267 263 13
267 932 104
268 254 49
268 269 156
269 268 156
269 270 191
270 269 191
270 271 23
270 923 39
271 270 23
