Arestas na MST:
1 - 26: 1
46 - 47: 1
8 - 22: 1
11 - 49: 1
39 - 7: 1
28 - 15: 1
49 - 14: 2
33 - 9: 2
39 - 35: 2
47 - 29: 2
40 - 26: 3
43 - 22: 3
46 - 38: 3
30 - 32: 4
22 - 16: 4
6 - 36: 4
4 - 15: 5
14 - 19: 5
39 - 31: 6
18 - 28: 6
42 - 23: 6
45 - 24: 6
19 - 25: 6
20 - 38: 6
15 - 16: 6
10 - 11: 6
35 - 15: 6
39 - 0: 7
23 - 24: 7
41 - 10: 7
27 - 34: 7
31 - 29: 7
31 - 32: 8
35 - 36: 8
19 - 6: 8
24 - 49: 8
5 - 49: 8
40 - 41: 9
3 - 4: 10
1 - 2: 10
27 - 10: 11
18 - 33: 11
8 - 48: 11
11 - 12: 12
44 - 30: 14
11 - 21: 14
48 - 37: 15
45 - 13: 16
17 - 19: 18
Peso total da MST: 325
