Arestas na MST:
3528 - 3529: 1
8054 - 2109: 1
5128 - 3024: 1
9220 - 4278: 1
8861 - 8860: 1
3567 - 9545: 1
8288 - 6759: 1
4850 - 5374: 1
6794 - 589: 1
5339 - 1749: 1
7980 - 2988: 1
2073 - 9122: 1
3424 - 3423: 1
711 - 3650: 1
5426 - 652: 1
8852 - 8853: 1
2107 - 5180: 1
1459 - 3164: 1
3310 - 45: 1
487 - 112: 1
2038 - 5843: 1
502 - 9653: 1
5578 - 5579: 1
2921 - 4589: 1
9999 - 3634: 1
3749 - 3750: 1
5039 - 3304: 1
7702 - 9800: 1
6066 - 1889: 1
609 - 608: 1
513 - 5825: 1
5544 - 7304: 1
3671 - 3672: 1
8996 - 8997: 1
8786 - 9051: 1
6820 - 5091: 1
9049 - 9050: 1
666 - 267: 1
6784 - 6783: 1
2387 - 7691: 1
3693 - 3694: 1
3703 - 3704: 1
2840 - 3419: 1
3153 - 3154: 1
6237 - 3442: 1
6943 - 8744: 1
8468 - 2186: 1
4964 - 6015: 1
3513 - 7639: 1
3237 - 3238: 1
4306 - 430: 1
3241 - 3242: 1
8610 - 7999: 1
7342 - 7826: 1
473 - 1817: 1
3996 - 6618: 1
4684 - 9049: 1
9765 - 6432: 1
3097 - 3098: 1
7875 - 5616: 1
3347 - 5678: 1
5719 - 5718: 1
7136 - 9480: 1
3353 - 3354: 1
778 - 777: 1
4876 - 8475: 1
6870 - 2000: 1
3579 - 5630: 1
1082 - 5612: 1
6858 - 6857: 1
3693 - 1691: 1
1006 - 5539: 1
8770 - 8769: 1
3261 - 3262: 1
1654 - 9522: 1
2147 - 6701: 1
2143 - 888: 1
7532 - 9775: 1
9628 - 7958: 1
3326 - 3327: 1
5401 - 2466: 1
3009 - 2688: 1
4300 - 4299: 1
6322 - 1671: 1
3249 - 1255: 1
9561 - 9562: 1
6184 - 1960: 1
4326 - 4327: 1
9582 - 902: 1
8319 - 3390: 1
4357 - 4358: 1
1412 - 631: 1
5533 - 8296: 1
9333 - 6342: 1
630 - 904: 1
4188 - 5278: 1
4223 - 8060: 1
9587 - 9588: 1
4286 - 4287: 1
7959 - 5722: 1
9523 - 9524: 1
2084 - 460: 1
3378 - 4605: 1
3586 - 2479: 1
8058 - 5317: 1
8415 - 9442: 1
5434 - 5433: 1
4484 - 4485: 1
4505 - 4506: 1
4515 - 4516: 1
3286 - 385: 1
5184 - 5788: 1
9609 - 9610: 1
6886 - 6366: 1
5951 - 2592: 1
6261 - 7472: 1
4379 - 4380: 1
6576 - 6575: 1
6320 - 2075: 1
7223 - 8422: 1
6136 - 8402: 1
6685 - 6684: 1
3955 - 3954: 1
9286 - 9287: 1
5527 - 5526: 1
2885 - 7321: 1
1143 - 5043: 1
2345 - 6595: 1
6761 - 5454: 1
7229 - 7922: 1
9308 - 9309: 1
2889 - 9121: 1
6206 - 6207: 1
8131 - 8494: 1
2167 - 4921: 1
7270 - 6851: 1
3437 - 9046: 1
4206 - 3815: 1
6102 - 6140: 1
9244 - 9245: 1
190 - 8997: 1
7170 - 8565: 1
8562 - 5524: 1
1549 - 6056: 1
4118 - 4119: 1
8216 - 8882: 1
6240 - 6241: 1
8462 - 4587: 1
8863 - 4530: 1
878 - 4985: 1
3203 - 8460: 1
5660 - 9734: 1
8623 - 8599: 1
274 - 8793: 1
3311 - 456: 1
8764 - 9249: 1
4283 - 9802: 1
207 - 154: 1
1644 - 8268: 1
3243 - 5693: 1
4310 - 926: 1
3480 - 4097: 1
3951 - 1024: 1
6676 - 4912: 1
8177 - 4410: 1
2282 - 4675: 1
7347 - 7348: 1
5386 - 6651: 1
4949 - 6784: 1
2372 - 9809: 1
9692 - 5835: 1
90 - 4569: 1
7723 - 7722: 1
2077 - 9250: 1
8535 - 3520: 1
7708 - 7709: 1
3642 - 8028: 1
